timestamp,gpu,host_bus,current_speed_gtps,current_width,phase
1788662301.493674254,gt1030,02:00.0,2.5,4,idle
1788662301.493674254,gtx1050,07:00.0,2.5,4,idle
1788662302.000086471,gt1030,02:00.0,2.5,4,idle
1788662302.000086471,gtx1050,07:00.0,2.5,4,idle
1788662302.506490854,gt1030,02:00.0,2.5,4,idle
1788662302.506490854,gtx1050,07:00.0,2.5,4,idle
1788662303.012766901,gt1030,02:00.0,2.5,4,idle
1788662303.012766901,gtx1050,07:00.0,2.5,4,idle
1788662303.519263655,gt1030,02:00.0,2.5,4,idle
1788662303.519263655,gtx1050,07:00.0,2.5,4,idle
1788662304.025586803,gt1030,02:00.0,2.5,4,idle
1788662304.025586803,gtx1050,07:00.0,2.5,4,idle
1788662304.531882440,gt1030,02:00.0,2.5,4,idle
1788662304.531882440,gtx1050,07:00.0,2.5,4,idle
1788662305.038608938,gt1030,02:00.0,2.5,4,idle
1788662305.038608938,gtx1050,07:00.0,2.5,4,idle
1788662305.544832592,gt1030,02:00.0,2.5,4,idle
1788662305.544832592,gtx1050,07:00.0,2.5,4,idle
1788662306.051304974,gt1030,02:00.0,2.5,4,idle
1788662306.051304974,gtx1050,07:00.0,2.5,4,idle
1788662306.557555777,gt1030,02:00.0,2.5,4,idle
1788662306.557555777,gtx1050,07:00.0,2.5,4,idle
1788662307.063793758,gt1030,02:00.0,2.5,4,idle
1788662307.063793758,gtx1050,07:00.0,2.5,4,idle
1788662307.570420854,gt1030,02:00.0,2.5,4,idle
1788662307.570420854,gtx1050,07:00.0,2.5,4,idle
1788662308.076730087,gt1030,02:00.0,2.5,4,idle
1788662308.076730087,gtx1050,07:00.0,2.5,4,idle
1788662308.582934841,gt1030,02:00.0,2.5,4,idle
1788662308.582934841,gtx1050,07:00.0,2.5,4,idle
1788662309.089273601,gt1030,02:00.0,2.5,4,idle
1788662309.089273601,gtx1050,07:00.0,2.5,4,idle
1788662309.595629871,gt1030,02:00.0,2.5,4,idle
1788662309.595629871,gtx1050,07:00.0,2.5,4,idle
1788662310.101862223,gt1030,02:00.0,2.5,4,idle
1788662310.101862223,gtx1050,07:00.0,2.5,4,idle
1788662310.608570006,gt1030,02:00.0,2.5,4,idle
1788662310.608570006,gtx1050,07:00.0,2.5,4,idle
1788662311.114867290,gt1030,02:00.0,2.5,4,idle
1788662311.114867290,gtx1050,07:00.0,2.5,4,idle
1788662311.621500706,gt1030,02:00.0,2.5,4,idle
1788662311.621500706,gtx1050,07:00.0,2.5,4,idle
1788662312.127783227,gt1030,02:00.0,2.5,4,idle
1788662312.127783227,gtx1050,07:00.0,2.5,4,idle
1788662312.634271540,gt1030,02:00.0,2.5,4,idle
1788662312.634271540,gtx1050,07:00.0,2.5,4,idle
